Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Running","2020-08-24 14:40","2020-08-24 15:02","0:22:25","2.5126166038704105","133.76923076923077","170","0:08:55","6.721994699680476","183.98900000000012","245.55000000000024","23.76",,"19.444444444444457","55"
"Traditional Strength Training","2020-08-24 07:43","2020-08-24 08:33","0:50:27",,"117.69534883720931","150",,,"312.9729999999983","425.15399999999715",,,"12.777777777777828","87"
"Outdoor Running","2020-08-23 17:38","2020-08-23 18:00","0:22:24","2.566433724757284","140.98395721925132","176","0:08:43","6.8726993143742705","186.2549999999997","246.17299999999986","24.060000000000002",,"16.666666666666686","78"
"Core Training","2020-08-23 17:22","2020-08-23 17:38","0:15:53",,"88.47402597402598","112",,,"70.04000000000029","96.70400000000049",,,"17.222222222222285","77"
"Outdoor Running","2020-08-22 17:22","2020-08-22 17:41","0:19:13","2.270828181041405","140.54298642533936","176","0:08:28","7.08482337086329","162.0489999999999","216.05400000000017","24.44",,"17.77777777777783","69"
"Traditional Strength Training","2020-08-22 16:55","2020-08-22 17:22","0:27:11",,"96.76991150442478","125",,,"119.99100000000155","166.12100000000152",,,"17.77777777777783","69"
"Outdoor Running","2020-08-21 15:10","2020-08-21 15:31","0:21:29","2.7577045602435244","143.579185520362","174","0:07:47","7.7008657963452425","189.07999999999993","244.9340000000001","25.67",,"18.33333333333337","76"
"Core Training","2020-08-21 14:56","2020-08-21 15:10","0:13:58",,"90.63571428571429","116",,,"62.416000000000054","86.23500000000021",,,"18.33333333333337","77"
"Traditional Strength Training","2020-08-20 07:52","2020-08-20 08:27","0:35:28",,"121.37846153846154","164",,,"259.9569999999994","340.290999999999",,,"15.5555555555556","79"
"Traditional Strength Training","2020-08-19 07:51","2020-08-19 08:27","0:36:15",,"122.97402597402598","168",,,"261.7609999999997","349.14299999999923",,,,
"Traditional Strength Training","2020-08-18 07:41","2020-08-18 08:25","0:43:26",,"120.17015706806282","152",,,"290.7469999999995","390.0639999999987",,,,
"Outdoor Running","2020-08-17 14:23","2020-08-17 14:45","0:22:49","2.7341266463105565","136.4904214559387","175","0:08:21","7.185614231318005","191.40200000000036","231.3640000000005","24.89",,"20.5555555555556","78"
"Traditional Strength Training","2020-08-17 07:38","2020-08-17 08:12","0:33:48",,"114.15434083601286","154",,,"196.8819999999999","280.0299999999995",,,,
"Outdoor Running","2020-08-16 17:45","2020-08-16 18:05","0:20:06","2.5107069242401048","147.5","181","0:08:00","7.494360412239228","184.5220000000002","239.41600000000045","22.73",,"19.444444444444457","81"
"Traditional Strength Training","2020-08-15 12:32","2020-08-15 13:38","1:06:27",,"122.2614503816794","160",,,"479.2579999999991","594.5149999999973",,,"21.666666666666686","64"
"Traditional Strength Training","2020-08-14 07:47","2020-08-14 08:19","0:32:23",,"127.24221453287197","163",,,"251.8829999999991","333.0449999999988",,,"16.111111111111143","93"
"Outdoor Running","2020-08-13 15:59","2020-08-13 16:20","0:20:29","2.494551065408159","145.52293577981652","175","0:08:13","7.301173875182002","174.35999999999999","246.04600000000022","24.3",,"23.888888888888914","69"
"Traditional Strength Training","2020-08-13 07:52","2020-08-13 08:26","0:34:37",,"129.2872340425532","161",,,"276.5479999999984","358.98699999999803",,,"18.888888888888914","95"
"Traditional Strength Training","2020-08-11 07:49","2020-08-11 08:38","0:48:55",,"128.578125","157",,,"406.01500000000067","514.9179999999997",,,"18.33333333333337","95"
"Outdoor Running","2020-08-10 16:45","2020-08-10 17:06","0:20:45","2.5370431834445335","147.85892116182572","185","0:08:10","7.333894001503944","184.38800000000015","257.7410000000004","22.98",,"27.222222222222285","57"
"Traditional Strength Training","2020-08-10 08:02","2020-08-10 08:55","0:53:03",,"134.52771618625277","167",,,"473.7969999999992","590.209999999998",,,"16.666666666666686","89"
"Traditional Strength Training","2020-08-08 10:19","2020-08-08 11:03","0:44:17",,"136.4390243902439","164",,,"402.9820000000003","500.17599999999953",,,"20.000000000000057","82"
"Traditional Strength Training","2020-08-05 08:07","2020-08-05 08:40","0:32:57",,"152.7719298245614","178",,,"370.83299999999946","447.03599999999915",,,"17.222222222222285","88"
"Elliptical","2020-08-05 08:02","2020-08-05 08:07","0:05:43",,"152.75","168",,,"61.008999999999965","70.99899999999995",,,"17.222222222222285","87"
"Outdoor Running","2020-08-04 14:50","2020-08-04 15:13","0:22:44","2.578677196067758","132.7079646017699","171","0:08:49","6.804270408336335","181.00300000000018","260.94200000000035","30.25",,"18.33333333333337","68"
"Traditional Strength Training","2020-08-04 08:16","2020-08-04 09:00","0:44:07",,"133.1439588688946","161",,,"378.6279999999999","479.55499999999904",,,"11.666666666666686","91"
"Outdoor Running","2020-08-03 15:06","2020-08-03 15:28","0:21:40","2.5014488359598066","142.04651162790697","172","0:08:40","6.923055196067613","183.69899999999984","263.273","25.28",,"17.77777777777783","51"
"Outdoor Running","2020-08-01 19:33","2020-08-01 19:54","0:20:49","2.4333091574339196","142.50588235294117","174","0:08:33","7.008682046030341","174.24700000000004","232.88900000000024","26.13",,"16.666666666666686","67"
"Outdoor Running","2020-07-29 14:51","2020-07-29 15:13","0:22:08","2.4915858751107005","140.7429718875502","182","0:08:53","6.750691363628294","185.79800000000012","283.08500000000026","23.650000000000002",,,
"Traditional Strength Training","2020-07-29 14:25","2020-07-29 14:51","0:25:29",,"91.92","127",,,"113.16700000000128","155.58600000000132",,,"18.33333333333337","59"
"Outdoor Running","2020-07-28 14:20","2020-07-28 14:40","0:20:04","2.449398530778475","142.12272727272727","179","0:08:11","7.319584355375297","164.90699999999978","200.71100000000004","21.86",,"16.666666666666686","59"
"Traditional Strength Training","2020-07-28 13:58","2020-07-28 14:20","0:21:07",,"81.38647342995169","102",,,"92.39600000000071","128.7670000000009",,,"16.111111111111143","66"
"Outdoor Running","2020-07-27 13:52","2020-07-27 14:14","0:21:47","2.6779525381373244","155.87548638132296","181","0:08:08","7.3710345271760565","204.52699999999973","242.5639999999999","22.45",,"18.888888888888914","87"
"Traditional Strength Training","2020-07-27 13:30","2020-07-27 13:52","0:22:28",,"98.44791666666667","136",,,"100.868000000001","138.96500000000117",,,"18.33333333333337","91"
"Outdoor Running","2020-07-24 20:03","2020-07-24 20:21","0:17:31","2.0095460795322433","137.92207792207793","172","0:08:43","6.881931303963523","139.26000000000005","180.18200000000033","20.17",,"20.000000000000057","72"
"Traditional Strength Training","2020-07-24 14:47","2020-07-24 15:06","0:19:16",,"87.52808988764045","121",,,"85.3040000000007","137.16100000000097",,,"22.77777777777783","59"
"Traditional Strength Training","2020-07-22 17:29","2020-07-22 17:53","0:23:38",,"79.52444444444444","102",,,"102.98200000000108","165.37500000000114",,,"18.888888888888914","64"
"Traditional Strength Training","2020-07-21 14:01","2020-07-21 14:22","0:21:01",,"79.77486910994764","102",,,"92.10500000000071","151.43700000000095",,,"18.33333333333337","59"
"Hiking","2020-07-19 11:57","2020-07-19 15:32","3:34:29","14.96753195717372","111.1479571598572","171","0:14:19","4.186776656787747","1073.0329999999976","1464.5810000000356","254.36",,"16.666666666666686","59"
"Outdoor Running","2020-07-18 18:52","2020-07-18 19:13","0:20:41","2.0571008237861097","139.38392857142858","177","0:10:03","5.967340609231066","160.6369999999996","213.00699999999983","20.400000000000002",,"14.444444444444457","96"
"Traditional Strength Training","2020-07-18 18:25","2020-07-18 18:52","0:26:59",,"99.98660714285714","131",,,"121.71500000000128","167.15600000000126",,,"15.000000000000057","94"
"Outdoor Running","2020-07-15 13:48","2020-07-15 14:15","0:26:25","2.601694074251689","130.92881355932204","178","0:10:09","5.906456966256966","190.69499999999988","257.5799999999998","27.63",,,
"Traditional Strength Training","2020-07-15 13:18","2020-07-15 13:48","0:30:14",,"90.04577464788733","116",,,"133.98400000000115","184.69600000000094",,,"15.000000000000057","93"
"Outdoor Running","2020-07-14 16:20","2020-07-14 16:42","0:22:37","2.567300934493076","135.4010152284264","174","0:08:48","6.810534222082933","171.08399999999992","225.56600000000006","21.21",,"14.444444444444457","74"
"Traditional Strength Training","2020-07-14 15:57","2020-07-14 16:20","0:22:55",,"88.38219895287958","111",,,"100.58900000000102","139.61800000000116",,,"15.000000000000057","73"
